IBGE7;UF;Município;CD_MESO;NM_MESO
1100015;RO;Alta Floresta D´oeste;1102;Leste Rondoniense
1100023;RO;Ariquemes;1102;Leste Rondoniense
1100031;RO;Cabixi;1102;Leste Rondoniense
1100049;RO;Cacoal;1102;Leste Rondoniense
1100056;RO;Cerejeiras;1102;Leste Rondoniense
1100064;RO;Colorado do Oeste;1102;Leste Rondoniense
1100072;RO;Corumbiara;1102;Leste Rondoniense
1100080;RO;Costa Marques;1101;Madeira-Guaporé
1100098;RO;Espigão D´oeste;1102;Leste Rondoniense
1100106;RO;Guajará-mirim;1101;Madeira-Guaporé
1100114;RO;Jaru;1102;Leste Rondoniense
1100122;RO;Ji-paraná;1102;Leste Rondoniense
1100130;RO;Machadinho D´oeste;1102;Leste Rondoniense
1100148;RO;Nova Brasilândia D´oeste;1102;Leste Rondoniense
1100155;RO;Ouro Preto do Oeste;1102;Leste Rondoniense
1100189;RO;Pimenta Bueno;1102;Leste Rondoniense
1100205;RO;Porto Velho;1101;Madeira-Guaporé
1100254;RO;Presidente Médici;1102;Leste Rondoniense
1100262;RO;Rio Crespo;1102;Leste Rondoniense
1100288;RO;Rolim de Moura;1102;Leste Rondoniense
1100296;RO;Santa Luzia D´oeste;1102;Leste Rondoniense
1100304;RO;Vilhena;1102;Leste Rondoniense
1100320;RO;São Miguel do Guaporé;1102;Leste Rondoniense
1100338;RO;Nova Mamoré;1101;Madeira-Guaporé
1100346;RO;Alvorada D´oeste;1102;Leste Rondoniense
1100379;RO;Alto Alegre Dos Parecis;1102;Leste Rondoniense
1100403;RO;Alto Paraíso;1102;Leste Rondoniense
1100452;RO;Buritis;1101;Madeira-Guaporé
1100502;RO;Novo Horizonte do Oeste;1102;Leste Rondoniense
1100601;RO;Cacaulândia;1102;Leste Rondoniense
1100700;RO;Campo Novo de Rondônia;1101;Madeira-Guaporé
1100809;RO;Candeias do Jamari;1101;Madeira-Guaporé
1100908;RO;Castanheiras;1102;Leste Rondoniense
1100924;RO;Chupinguaia;1102;Leste Rondoniense
1100940;RO;Cujubim;1101;Madeira-Guaporé
1101005;RO;Governador Jorge Teixeira;1102;Leste Rondoniense
1101104;RO;Itapuã do Oeste;1101;Madeira-Guaporé
1101203;RO;Ministro Andreazza;1102;Leste Rondoniense
1101302;RO;Mirante da Serra;1102;Leste Rondoniense
1101401;RO;Monte Negro;1102;Leste Rondoniense
1101435;RO;Nova União;1102;Leste Rondoniense
1101450;RO;Parecis;1102;Leste Rondoniense
1101468;RO;Pimenteiras do Oeste;1102;Leste Rondoniense
1101476;RO;Primavera de Rondônia;1102;Leste Rondoniense
1101484;RO;São Felipe D´oeste;1102;Leste Rondoniense
1101492;RO;São Francisco do Guaporé;1101;Madeira-Guaporé
1101500;RO;Seringueiras;1102;Leste Rondoniense
1101559;RO;Teixeirópolis;1102;Leste Rondoniense
1101609;RO;Theobroma;1102;Leste Rondoniense
1101708;RO;Urupá;1102;Leste Rondoniense
1101757;RO;Vale do Anari;1102;Leste Rondoniense
1101807;RO;Vale do Paraíso;1102;Leste Rondoniense
1200013;AC;Acrelândia;1202;Vale do Acre
1200054;AC;Assis Brasil;1202;Vale do Acre
1200104;AC;Brasiléia;1202;Vale do Acre
1200138;AC;Bujari;1202;Vale do Acre
1200179;AC;Capixaba;1202;Vale do Acre
1200203;AC;Cruzeiro do Sul;1201;Vale do Juruá
1200252;AC;Epitaciolândia;1202;Vale do Acre
1200302;AC;Feijó;1201;Vale do Juruá
1200328;AC;Jordão;1201;Vale do Juruá
1200336;AC;Mâncio Lima;1201;Vale do Juruá
1200344;AC;Manoel Urbano;1202;Vale do Acre
1200351;AC;Marechal Thaumaturgo;1201;Vale do Juruá
1200385;AC;Plácido de Castro;1202;Vale do Acre
1200393;AC;Porto Walter;1201;Vale do Juruá
1200401;AC;Rio Branco;1202;Vale do Acre
1200427;AC;Rodrigues Alves;1201;Vale do Juruá
1200435;AC;Santa Rosa do Purus;1202;Vale do Acre
1200450;AC;Senador Guiomard;1202;Vale do Acre
1200500;AC;Sena Madureira;1202;Vale do Acre
1200609;AC;Tarauacá;1201;Vale do Juruá
1200708;AC;Xapuri;1202;Vale do Acre
1200807;AC;Porto Acre;1202;Vale do Acre
1300029;AM;Alvarães;1303;Centro Amazonense
1300060;AM;Amaturá;1302;Sudoeste Amazonense
1300086;AM;Anamã;1303;Centro Amazonense
1300102;AM;Anori;1303;Centro Amazonense
1300144;AM;Apuí;1304;Sul Amazonense
1300201;AM;Atalaia do Norte;1302;Sudoeste Amazonense
1300300;AM;Autazes;1303;Centro Amazonense
1300409;AM;Barcelos;1301;Norte Amazonense
1300508;AM;Barreirinha;1303;Centro Amazonense
1300607;AM;Benjamin Constant;1302;Sudoeste Amazonense
1300631;AM;Beruri;1303;Centro Amazonense
1300680;AM;Boa Vista do Ramos;1303;Centro Amazonense
1300706;AM;Boca do Acre;1304;Sul Amazonense
1300805;AM;Borba;1304;Sul Amazonense
1300839;AM;Caapiranga;1303;Centro Amazonense
1300904;AM;Canutama;1304;Sul Amazonense
1301001;AM;Carauari;1302;Sudoeste Amazonense
1301100;AM;Careiro;1303;Centro Amazonense
1301159;AM;Careiro da Várzea;1303;Centro Amazonense
1301209;AM;Coari;1303;Centro Amazonense
1301308;AM;Codajás;1303;Centro Amazonense
1301407;AM;Eirunepé;1302;Sudoeste Amazonense
1301506;AM;Envira;1302;Sudoeste Amazonense
1301605;AM;Fonte Boa;1302;Sudoeste Amazonense
1301654;AM;Guajará;1302;Sudoeste Amazonense
1301704;AM;Humaitá;1304;Sul Amazonense
1301803;AM;Ipixuna;1302;Sudoeste Amazonense
1301852;AM;Iranduba;1303;Centro Amazonense
1301902;AM;Itacoatiara;1303;Centro Amazonense
1301951;AM;Itamarati;1302;Sudoeste Amazonense
1302009;AM;Itapiranga;1303;Centro Amazonense
1302108;AM;Japurá;1301;Norte Amazonense
1302207;AM;Juruá;1302;Sudoeste Amazonense
1302306;AM;Jutaí;1302;Sudoeste Amazonense
1302405;AM;Lábrea;1304;Sul Amazonense
1302504;AM;Manacapuru;1303;Centro Amazonense
1302553;AM;Manaquiri;1303;Centro Amazonense
1302603;AM;Manaus;1303;Centro Amazonense
1302702;AM;Manicoré;1304;Sul Amazonense
1302801;AM;Maraã;1301;Norte Amazonense
1302900;AM;Maués;1303;Centro Amazonense
1303007;AM;Nhamundá;1303;Centro Amazonense
1303106;AM;Nova Olinda do Norte;1303;Centro Amazonense
1303205;AM;Novo Airão;1301;Norte Amazonense
1303304;AM;Novo Aripuanã;1304;Sul Amazonense
1303403;AM;Parintins;1303;Centro Amazonense
1303502;AM;Pauini;1304;Sul Amazonense
1303536;AM;Presidente Figueiredo;1303;Centro Amazonense
1303569;AM;Rio Preto da Eva;1303;Centro Amazonense
1303601;AM;Santa Isabel do Rio Negro;1301;Norte Amazonense
1303700;AM;Santo Antônio do Içá;1302;Sudoeste Amazonense
1303809;AM;São Gabriel da Cachoeira;1301;Norte Amazonense
1303908;AM;São Paulo de Olivença;1302;Sudoeste Amazonense
1303957;AM;São Sebastião do Uatumã;1303;Centro Amazonense
1304005;AM;Silves;1303;Centro Amazonense
1304062;AM;Tabatinga;1302;Sudoeste Amazonense
1304104;AM;Tapauá;1304;Sul Amazonense
1304203;AM;Tefé;1303;Centro Amazonense
1304237;AM;Tonantins;1302;Sudoeste Amazonense
1304260;AM;Uarini;1303;Centro Amazonense
1304302;AM;Urucará;1303;Centro Amazonense
1304401;AM;Urucurituba;1303;Centro Amazonense
1400027;RR;Amajari;1401;Norte de Roraima
1400050;RR;Alto Alegre;1401;Norte de Roraima
1400100;RR;Boa Vista;1401;Norte de Roraima
1400159;RR;Bonfim;1401;Norte de Roraima
1400175;RR;Cantá;1401;Norte de Roraima
1400209;RR;Caracaraí;1402;Sul de Roraima
1400233;RR;Caroebe;1402;Sul de Roraima
1400282;RR;Iracema;1402;Sul de Roraima
1400308;RR;Mucajaí;1402;Sul de Roraima
1400407;RR;Normandia;1401;Norte de Roraima
1400456;RR;Pacaraima;1401;Norte de Roraima
1400472;RR;Rorainópolis;1402;Sul de Roraima
1400506;RR;São João da Baliza;1402;Sul de Roraima
1400605;RR;São Luiz;1402;Sul de Roraima
1400704;RR;Uiramutã;1401;Norte de Roraima
1500107;PA;Abaetetuba;1504;Nordeste Paraense
1500131;PA;Abel Figueiredo;1506;Sudeste Paraense
1500206;PA;Acará;1504;Nordeste Paraense
1500305;PA;Afuá;1502;Marajó
1500347;PA;Água Azul do Norte;1506;Sudeste Paraense
1500404;PA;Alenquer;1501;Baixo Amazonas
1500503;PA;Almeirim;1501;Baixo Amazonas
1500602;PA;Altamira;1505;Sudoeste Paraense
1500701;PA;Anajás;1502;Marajó
1500800;PA;Ananindeua;1503;Metropolitana de Belém
1500859;PA;Anapu;1505;Sudoeste Paraense
1500909;PA;Augusto Corrêa;1504;Nordeste Paraense
1500958;PA;Aurora do Pará;1504;Nordeste Paraense
1501006;PA;Aveiro;1505;Sudoeste Paraense
1501105;PA;Bagre;1502;Marajó
1501204;PA;Baião;1504;Nordeste Paraense
1501253;PA;Bannach;1506;Sudeste Paraense
1501303;PA;Barcarena;1503;Metropolitana de Belém
1501402;PA;Belém;1503;Metropolitana de Belém
1501451;PA;Belterra;1501;Baixo Amazonas
1501501;PA;Benevides;1503;Metropolitana de Belém
1501576;PA;Bom Jesus do Tocantins;1506;Sudeste Paraense
1501600;PA;Bonito;1504;Nordeste Paraense
1501709;PA;Bragança;1504;Nordeste Paraense
1501725;PA;Brasil Novo;1505;Sudoeste Paraense
1501758;PA;Brejo Grande do Araguaia;1506;Sudeste Paraense
1501782;PA;Breu Branco;1506;Sudeste Paraense
1501808;PA;Breves;1502;Marajó
1501907;PA;Bujaru;1503;Metropolitana de Belém
1501956;PA;Cachoeira do Piriá;1504;Nordeste Paraense
1502004;PA;Cachoeira do Arari;1502;Marajó
1502103;PA;Cametá;1504;Nordeste Paraense
1502152;PA;Canaã Dos Carajás;1506;Sudeste Paraense
1502202;PA;Capanema;1504;Nordeste Paraense
1502301;PA;Capitão Poço;1504;Nordeste Paraense
1502400;PA;Castanhal;1503;Metropolitana de Belém
1502509;PA;Chaves;1502;Marajó
1502608;PA;Colares;1504;Nordeste Paraense
1502707;PA;Conceição do Araguaia;1506;Sudeste Paraense
1502756;PA;Concórdia do Pará;1504;Nordeste Paraense
1502764;PA;Cumaru do Norte;1506;Sudeste Paraense
1502772;PA;Curionópolis;1506;Sudeste Paraense
1502806;PA;Curralinho;1502;Marajó
1502855;PA;Curuá;1501;Baixo Amazonas
1502905;PA;Curuçá;1504;Nordeste Paraense
1502939;PA;Dom Eliseu;1506;Sudeste Paraense
1502954;PA;Eldorado Dos Carajás;1506;Sudeste Paraense
1503002;PA;Faro;1501;Baixo Amazonas
1503044;PA;Floresta do Araguaia;1506;Sudeste Paraense
1503077;PA;Garrafão do Norte;1504;Nordeste Paraense
1503093;PA;Goianésia do Pará;1506;Sudeste Paraense
1503101;PA;Gurupá;1502;Marajó
1503200;PA;Igarapé-açu;1504;Nordeste Paraense
1503309;PA;Igarapé-miri;1504;Nordeste Paraense
1503408;PA;Inhangapi;1503;Metropolitana de Belém
1503457;PA;Ipixuna do Pará;1504;Nordeste Paraense
1503507;PA;Irituia;1504;Nordeste Paraense
1503606;PA;Itaituba;1505;Sudoeste Paraense
1503705;PA;Itupiranga;1506;Sudeste Paraense
1503754;PA;Jacareacanga;1505;Sudoeste Paraense
1503804;PA;Jacundá;1506;Sudeste Paraense
1503903;PA;Juruti;1501;Baixo Amazonas
1504000;PA;Limoeiro do Ajuru;1504;Nordeste Paraense
1504059;PA;Mãe do Rio;1504;Nordeste Paraense
1504109;PA;Magalhães Barata;1504;Nordeste Paraense
1504208;PA;Marabá;1506;Sudeste Paraense
1504307;PA;Maracanã;1504;Nordeste Paraense
1504406;PA;Marapanim;1504;Nordeste Paraense
1504422;PA;Marituba;1503;Metropolitana de Belém
1504455;PA;Medicilândia;1505;Sudoeste Paraense
1504505;PA;Melgaço;1502;Marajó
1504604;PA;Mocajuba;1504;Nordeste Paraense
1504703;PA;Moju;1504;Nordeste Paraense
1504752;PA;Mojuí dos Campos;1501;Baixo Amazonas
1504802;PA;Monte Alegre;1501;Baixo Amazonas
1504901;PA;Muaná;1502;Marajó
1504950;PA;Nova Esperança do Piriá;1504;Nordeste Paraense
1504976;PA;Nova Ipixuna;1506;Sudeste Paraense
1505007;PA;Nova Timboteua;1504;Nordeste Paraense
1505031;PA;Novo Progresso;1505;Sudoeste Paraense
1505064;PA;Novo Repartimento;1506;Sudeste Paraense
1505106;PA;Óbidos;1501;Baixo Amazonas
1505205;PA;Oeiras do Pará;1504;Nordeste Paraense
1505304;PA;Oriximiná;1501;Baixo Amazonas
1505403;PA;Ourém;1504;Nordeste Paraense
1505437;PA;Ourilândia do Norte;1506;Sudeste Paraense
1505486;PA;Pacajá;1505;Sudoeste Paraense
1505494;PA;Palestina do Pará;1506;Sudeste Paraense
1505502;PA;Paragominas;1506;Sudeste Paraense
1505536;PA;Parauapebas;1506;Sudeste Paraense
1505551;PA;Pau D´arco;1506;Sudeste Paraense
1505601;PA;Peixe-boi;1504;Nordeste Paraense
1505635;PA;Piçarra;1506;Sudeste Paraense
1505650;PA;Placas;1501;Baixo Amazonas
1505700;PA;Ponta de Pedras;1502;Marajó
1505809;PA;Portel;1502;Marajó
1505908;PA;Porto de Moz;1501;Baixo Amazonas
1506005;PA;Prainha;1501;Baixo Amazonas
1506104;PA;Primavera;1504;Nordeste Paraense
1506112;PA;Quatipuru;1504;Nordeste Paraense
1506138;PA;Redenção;1506;Sudeste Paraense
1506161;PA;Rio Maria;1506;Sudeste Paraense
1506187;PA;Rondon do Pará;1506;Sudeste Paraense
1506195;PA;Rurópolis;1505;Sudoeste Paraense
1506203;PA;Salinópolis;1504;Nordeste Paraense
1506302;PA;Salvaterra;1502;Marajó
1506351;PA;Santa Bárbara do Pará;1503;Metropolitana de Belém
1506401;PA;Santa Cruz do Arari;1502;Marajó
1506500;PA;Santa Isabel do Pará;1503;Metropolitana de Belém
1506559;PA;Santa Luzia do Pará;1504;Nordeste Paraense
1506583;PA;Santa Maria Das Barreiras;1506;Sudeste Paraense
1506609;PA;Santa Maria do Pará;1504;Nordeste Paraense
1506708;PA;Santana do Araguaia;1506;Sudeste Paraense
1506807;PA;Santarém;1501;Baixo Amazonas
1506906;PA;Santarém Novo;1504;Nordeste Paraense
1507003;PA;Santo Antônio do Tauá;1503;Metropolitana de Belém
1507102;PA;São Caetano de Odivelas;1504;Nordeste Paraense
1507151;PA;São Domingos do Araguaia;1506;Sudeste Paraense
1507201;PA;São Domingos do Capim;1504;Nordeste Paraense
1507300;PA;São Félix do Xingu;1506;Sudeste Paraense
1507409;PA;São Francisco do Pará;1504;Nordeste Paraense
1507458;PA;São Geraldo do Araguaia;1506;Sudeste Paraense
1507466;PA;São João da Ponta;1504;Nordeste Paraense
1507474;PA;São João de Pirabas;1504;Nordeste Paraense
1507508;PA;São João do Araguaia;1506;Sudeste Paraense
1507607;PA;São Miguel do Guamá;1504;Nordeste Paraense
1507706;PA;São Sebastião da Boa Vista;1502;Marajó
1507755;PA;Sapucaia;1506;Sudeste Paraense
1507805;PA;Senador José Porfírio;1505;Sudoeste Paraense
1507904;PA;Soure;1502;Marajó
1507953;PA;Tailândia;1504;Nordeste Paraense
1507961;PA;Terra Alta;1504;Nordeste Paraense
1507979;PA;Terra Santa;1501;Baixo Amazonas
1508001;PA;Tomé-açu;1504;Nordeste Paraense
1508035;PA;Tracuateua;1504;Nordeste Paraense
1508050;PA;Trairão;1505;Sudoeste Paraense
1508084;PA;Tucumã;1506;Sudeste Paraense
1508100;PA;Tucuruí;1506;Sudeste Paraense
1508126;PA;Ulianópolis;1506;Sudeste Paraense
1508159;PA;Uruará;1505;Sudoeste Paraense
1508209;PA;Vigia;1504;Nordeste Paraense
1508308;PA;Viseu;1504;Nordeste Paraense
1508357;PA;Vitória do Xingu;1505;Sudoeste Paraense
1508407;PA;Xinguara;1506;Sudeste Paraense
1600055;AP;Serra do Navio;1602;Sul do Amapá
1600105;AP;Amapá;1601;Norte do Amapá
1600154;AP;Pedra Branca do Amapari;1602;Sul do Amapá
1600204;AP;Calçoene;1601;Norte do Amapá
1600212;AP;Cutias;1602;Sul do Amapá
1600238;AP;Ferreira Gomes;1602;Sul do Amapá
